"","SITE","exp_group","FRACTION","DEPTH","BURN_SEVERITY","TREATMENT","DEPTH_UPPER","DEPTH_LOWER","CONC_MEAN","C_PERC","N_PERC","C_N","mg_ml_bpca","g_kg_bpca_lf","g_PyC_kg_LF_C","per_bpca_carb_lf","carbon_stock","carbon_stock_fraction","MASS_PROPORTION_RECOVERED","decayed_mass_kg","total_input","burn_decayed_mass_kg","wood_input_rate","wood_departure_rate","wood_accumulation_rate","years_to_capacity","years_to_recovery","fire_count","fire_frequency","DEPTH_Plotting"
"1","CH1","H","BULK","0-5","control","control",0,5,NA,6.61,0.19,34.7894736842105,NA,NA,NA,NA,14.8725,NA,NA,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"0-5 cm"
"2","CH1","H","HF","0-5","control","control",0,5,NA,1.75,0.13,13.4615384615385,NA,NA,NA,NA,3.9375,3.0043125,0.763,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"0-5 cm"
"3","CH1","H","LF","0-5","control","control",0,5,0.0507512685797965,22.17,0.52,42.6346153846154,0.0128127413733392,0.00275473939526792,57.7931500827207,0.0577931500827207,49.8825,10.7247375,0.215,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"0-5 cm"
"4","CH1","H","BULK","10-20","control","control",10,20,NA,4.17,0.12,34.75,NA,NA,NA,NA,20.016,NA,NA,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"10-20 cm"
"5","CH1","H","HF","10-20","control","control",10,20,NA,1.41,0.11,12.8181818181818,NA,NA,NA,NA,6.768,6.111504,0.903,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"10-20 cm"
"6","CH1","H","LF","10-20","control","control",10,20,0.154288689325254,21.28,0.39,54.5641025641026,0.0439568915456564,0.00593418035866362,206.56433997019,0.20656433997019,102.144,13.78944,0.135,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"10-20 cm"
"7","CH1","H","BULK","20-30","control","control",20,30,NA,5.61,0.16,35.0625,NA,NA,NA,NA,43.758,NA,NA,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"20-30 cm"
"8","CH1","H","HF","20-30","control","control",20,30,NA,1.57,0.13,12.0769230769231,NA,NA,NA,NA,12.246,10.53156,0.86,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"20-30 cm"
"9","CH1","H","LF","20-30","control","control",20,30,NA,21.46,0.46,46.6521739130435,NA,NA,NA,NA,167.388,19.584396,0.117,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"20-30 cm"
"10","CH1","H","BULK","5-10","control","control",5,10,NA,4.8,0.15,32,NA,NA,NA,NA,12.72,NA,NA,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"5-10 cm"
"11","CH1","H","HF","5-10","control","control",5,10,NA,1.59,0.13,12.2307692307692,NA,NA,NA,NA,4.2135,3.775296,0.896,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"5-10 cm"
"12","CH1","H","LF","5-10","control","control",5,10,0.0193971721195448,19.49,0.44,44.2954545454545,0.00490446829824142,0.000647389815367867,25.1640241059077,0.0251640241059077,51.6485,6.817602,0.132,18.91861522566,43.8902781997374,18.91861522566,1.35519156260763,0.600391335184613,0.754800227423014,25.0644005371469,0,NA,NA,"5-10 cm"
"13","CH2","H","BULK","0-5","control","control",0,5,NA,13.92,0.4,34.8,NA,NA,NA,NA,23.664,NA,NA,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"0-5 cm"
"14","CH2","H","HF","0-5","control","control",0,5,NA,4.46,0.21,21.2380952380952,NA,NA,NA,NA,7.582,4.723586,0.623,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"0-5 cm"
"15","CH2","H","LF","0-5","control","control",0,5,0.000287766113400531,29.42,0.73,40.3013698630137,8.03367150755251e-05,2.97245845779443e-05,0.273068372112594,0.000273068372112594,50.014,18.50518,0.37,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"0-5 cm"
"16","CH2","H","BULK","10-20","control","control",10,20,NA,7.59,0.23,33,NA,NA,NA,NA,34.914,NA,NA,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"10-20 cm"
"17","CH2","H","HF","10-20","control","control",10,20,NA,2.64,0.17,15.5294117647059,NA,NA,NA,NA,12.144,8.391504,0.691,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"10-20 cm"
